"state","season","week","year","deaths"
"Florida","2015-16",37,2016,3575
"Florida","2015-16",38,2016,3622
"Florida","2015-16",39,2016,3646
"Florida","2016-17",40,2016,3627
"Florida","2016-17",41,2016,3691
"Florida","2016-17",42,2016,3818
"Florida","2016-17",43,2016,3610
"Florida","2016-17",44,2016,3726
"Florida","2016-17",45,2016,3812
"Florida","2016-17",46,2016,3814
"Florida","2016-17",47,2016,3891
"Florida","2016-17",48,2016,3917
"Florida","2016-17",49,2016,3831
"Florida","2016-17",50,2016,3810
"Florida","2016-17",51,2016,3781
"Florida","2016-17",52,2016,3865
"Florida","2016-17",1,2017,4062
"Florida","2016-17",2,2017,4222
"Florida","2016-17",3,2017,4137
"Florida","2016-17",4,2017,3909
"Florida","2016-17",5,2017,4230
"Florida","2016-17",6,2017,4008
"Florida","2016-17",7,2017,4169
"Florida","2016-17",8,2017,4192
"Florida","2016-17",9,2017,3950
"Florida","2016-17",10,2017,4130
"Florida","2016-17",11,2017,3931
"Florida","2016-17",12,2017,4203
"Florida","2016-17",13,2017,3981
"Florida","2016-17",14,2017,3996
"Florida","2016-17",15,2017,3981
"Florida","2016-17",16,2017,3844
"Florida","2016-17",17,2017,3867
"Florida","2016-17",18,2017,3832
"Florida","2016-17",19,2017,3764
"Florida","2016-17",20,2017,3814
"Florida","2016-17",21,2017,3724
"Florida","2016-17",22,2017,3801
"Florida","2016-17",23,2017,3758
"Florida","2016-17",24,2017,3607
"Florida","2016-17",25,2017,3798
"Florida","2016-17",26,2017,3759
"Florida","2016-17",27,2017,3747
"Florida","2016-17",28,2017,3666
"Florida","2016-17",29,2017,3685
"Florida","2016-17",30,2017,3655
"Florida","2016-17",31,2017,3722
"Florida","2016-17",32,2017,3854
"Florida","2016-17",33,2017,3835
"Florida","2016-17",34,2017,3633
"Florida","2016-17",35,2017,3647
"Florida","2016-17",36,2017,3822
"Florida","2016-17",37,2017,3961
"Florida","2016-17",38,2017,3971
"Florida","2016-17",39,2017,3858
"Florida","2017-18",40,2017,3923
"Florida","2017-18",41,2017,3835
"Florida","2017-18",42,2017,3792
"Florida","2017-18",43,2017,3834
"Florida","2017-18",44,2017,3955
"Florida","2017-18",45,2017,3858
"Florida","2017-18",46,2017,3911
"Florida","2017-18",47,2017,3852
"Florida","2017-18",48,2017,3945
"Florida","2017-18",49,2017,3865
"Florida","2017-18",50,2017,4130
"Florida","2017-18",51,2017,4244
"Florida","2017-18",52,2017,4137
"Florida","2017-18",1,2018,4389
"Florida","2017-18",2,2018,4562
"Florida","2017-18",3,2018,4605
"Florida","2017-18",4,2018,4521
"Florida","2017-18",5,2018,4554
"Florida","2017-18",6,2018,4531
"Florida","2017-18",7,2018,4330
"Florida","2017-18",8,2018,4089
"Florida","2017-18",9,2018,4070
"Florida","2017-18",10,2018,4000
"Florida","2017-18",11,2018,4179
"Florida","2017-18",12,2018,4045
"Florida","2017-18",13,2018,4020
"Florida","2017-18",14,2018,4034
"Florida","2017-18",15,2018,3896
"Florida","2017-18",16,2018,3927
"Florida","2017-18",17,2018,3833
"Florida","2017-18",18,2018,3880
"Florida","2017-18",19,2018,3801
"Florida","2017-18",20,2018,3737
"Florida","2017-18",21,2018,3664
"Florida","2017-18",22,2018,3862
"Florida","2017-18",23,2018,3886
"Florida","2017-18",24,2018,3792
"Florida","2017-18",25,2018,3774
"Florida","2017-18",26,2018,3714
"Florida","2017-18",27,2018,4016
"Florida","2017-18",28,2018,3669
"Florida","2017-18",29,2018,3718
"Florida","2017-18",30,2018,3657
"Florida","2017-18",31,2018,3727
"Florida","2017-18",32,2018,3742
"Florida","2017-18",33,2018,3590
"Florida","2017-18",34,2018,3652
"Florida","2017-18",35,2018,3701
"Florida","2017-18",36,2018,3667
"Florida","2017-18",37,2018,3865
"Florida","2017-18",38,2018,3770
"Florida","2017-18",39,2018,3782
"Florida","2018-19",40,2018,3756
"Florida","2018-19",41,2018,3798
"Florida","2018-19",42,2018,3735
"Florida","2018-19",43,2018,3879
"Florida","2018-19",44,2018,3744
"Florida","2018-19",45,2018,3798
"Florida","2018-19",46,2018,3923
"Florida","2018-19",47,2018,3830
"Florida","2018-19",48,2018,3905
"Florida","2018-19",49,2018,4062
"Florida","2018-19",50,2018,4108
"Florida","2018-19",51,2018,3922
"Florida","2018-19",52,2018,4138
"Florida","2018-19",1,2019,4139
"Florida","2018-19",2,2019,4113
"Florida","2018-19",3,2019,4077
"Florida","2018-19",4,2019,4061
"Florida","2018-19",5,2019,4223
"Florida","2018-19",6,2019,4174
"Florida","2018-19",7,2019,4142
"Florida","2018-19",8,2019,4037
"Florida","2018-19",9,2019,4174
"Florida","2018-19",10,2019,4024
"Florida","2018-19",11,2019,4053
"Florida","2018-19",12,2019,4050
"Florida","2018-19",13,2019,4239
"Florida","2018-19",14,2019,4100
"Florida","2018-19",15,2019,4152
"Florida","2018-19",16,2019,3991
"Florida","2018-19",17,2019,4053
"Florida","2018-19",18,2019,3982
"Florida","2018-19",19,2019,4064
"Florida","2018-19",20,2019,4046
"Florida","2018-19",21,2019,3904
"Florida","2018-19",22,2019,3927
"Florida","2018-19",23,2019,3974
"Florida","2018-19",24,2019,3816
"Florida","2018-19",25,2019,3945
"Florida","2018-19",26,2019,3830
"Florida","2018-19",27,2019,3893
"Florida","2018-19",28,2019,3881
"Florida","2018-19",29,2019,3786
"Florida","2018-19",30,2019,3898
"Florida","2018-19",31,2019,3922
"Florida","2018-19",32,2019,3711
"Florida","2018-19",33,2019,3683
"Florida","2018-19",34,2019,3794
"Florida","2018-19",35,2019,3708
"Florida","2018-19",36,2019,3755
"Florida","2018-19",37,2019,3721
"Florida","2018-19",38,2019,3804
"Florida","2018-19",39,2019,3765
"Florida","2019-20",40,2019,3838
"Florida","2019-20",41,2019,3869
"Florida","2019-20",42,2019,3786
"Florida","2019-20",43,2019,3722
"Florida","2019-20",44,2019,3876
"Florida","2019-20",45,2019,3963
"Florida","2019-20",46,2019,4034
"Florida","2019-20",47,2019,3984
"Florida","2019-20",48,2019,4018
"Florida","2019-20",49,2019,4187
"Florida","2019-20",50,2019,4243
"Florida","2019-20",51,2019,4083
"Florida","2019-20",52,2019,4256
